ID,Name,Longitude,Latitude
20081,Carrier S'pore,103.73879,1.3266
20089,Opp Carrier S'pore,103.73922,1.32703
20101,Nan Hua Pr Sch,103.76222,1.31994
20109,Blk 203,103.76207,1.32085
20121,Opp Blk 51,103.73708,1.32024
20129,Bet Blks 50/51,103.73754,1.32035
20131,S'pore Food Industries Bldg,103.75185,1.31559
20139,Opp Angliss Bldg,103.75204,1.31584
20141,Opp Blk 408,103.74877,1.31772
20149,Blk 408,103.74897,1.31796
20151,Opp Blk 411,103.74631,1.3183
20159,Blk 411,103.7464,1.31851
20161,Opp Blks 34/35,103.74214,1.31915
20169,Blk 35,103.74251,1.31928
20171,Opp Blk 47,103.73984,1.31968
20179,Aft Teban Gdns Rd,103.7391,1.32
20181,Ayer Rajah CC,103.74746,1.32048
20189,Opp Ayer Rajah CC,103.74727,1.32031
20191,Blk 407,103.74846,1.31924
20199,Blk 410,103.7482,1.31908
20201,Blk 39,103.74341,1.32128
20209,Bef Jurong Town Hall Rd,103.74407,1.32043
20211,Blk 41,103.74184,1.32177
20219,Opp Blk 41,103.74143,1.32206
20231,Bef Hasanah Mque,103.73944,1.32234
20239,Aft Hasanah Mque,103.73947,1.32247
20241,Opp Blk 54,103.73638,1.32116
20249,Blk 54,103.7367,1.32162
20251,Bef Teban Gdns Rd,103.74447,1.31976
